movie_ID,director,top_actors
603,Lana Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss"
337167,James Foley,"Dakota Johnson, Jamie Dornan, Eric Johnson"
975022,Jerren Lauder,"McKaley Miller, Dermot Mulroney, Anne Heche"
597,James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane"
269149,Byron Howard,"Jason Bateman, Ginnifer Goodwin, Idris Elba"
1579,Mel Gibson,"Rudy Youngblood, Raoul Max Trujillo, Gerardo Taracena"
931944,Veronika Franz,"Anja Plaschg, Maria Hofstätter, David Scheid"
1154864,Carlos Marbán,"Daniela Casas, Noah Casas, Roxana Visan"
929563,Anna O'Brian,"Chris Houghton, Marieve Herington, Bob Joles"
166428,Dean DeBlois,"Jay Baruchel, America Ferrera, F. Murray Abraham"
260346,Olivier Megaton,"Liam Neeson, Forest Whitaker, Maggie Grace"
244786,Damien Chazelle,"Miles Teller, J.K. Simmons, Paul Reiser"
1233327,Karuna Kumar,"Varun Tej, Meenakshi Chaudhary, Nora Fatehi"
1280655,Alyssa Toledo,"Drew Starkey, Rudy Pankow, Elaine Siemek"
361743,Joseph Kosinski,"Tom Cruise, Miles Teller, Monica Barbaro"
840705,Zoë Kravitz,"Naomi Ackie, Channing Tatum, Alia Shawkat"
1139817,Jason Kim,"Kim Woo-bin, Kim Sung-kyun, Lee Hyun-gul"
787699,Paul King,"Timothée Chalamet, Calah Lane, Keegan-Michael Key"
567811,Christopher Jenkins,"Mo Gilligan, Simone Ashley, Sophie Okonedo"
245891,Chad Stahelski,"Keanu Reeves, Michael Nyqvist, Alfie Allen"
330457,Jennifer Lee,"Kristen Bell, Idina Menzel, Josh Gad"
231001,Damien Leone,"Katie Maguire, Catherine A. Callahan, Marie Maser"
335984,Denis Villeneuve,"Ryan Gosling, Harrison Ford, Ana de Armas"
8871,Ron Howard,"Jim Carrey, Taylor Momsen, Jeffrey Tambor"
1631,Catherine Breillat,"Charlotte Alexandra, Hiram Keller, Rita Maiden"
1210794,Jon Holmberg,"Filip Berg, Amy Deasismont, Joakim Sällquist"
120,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen"
1182047,Ali Abbasi,"Sebastian Stan, Jeremy Strong, Maria Bakalova"
122,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen"
11544,Chris Sanders,"Daveigh Chase, Chris Sanders, Tia Carrere"
198663,Wes Ball,"Dylan O'Brien, Kaya Scodelario, Aml Ameen"
15255,Isaac Florentine,"Michael Jai White, Scott Adkins, Ben Cross"
1140168,Ben J. Williams,"Danielle Scott, Lauren Budd, Matthew Baunsgard"
575264,Christopher McQuarrie,"Tom Cruise, Hayley Atwell, Ving Rhames"
2454,Andrew Adamson,"William Moseley, Anna Popplewell, Skandar Keynes"
76600,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver"
916192,Tomohisa Taguchi,"Ouji Suzuka, Marie Iitoyo, Tasuku Hatanaka"
360920,Yarrow Cheney,"Benedict Cumberbatch, Rashida Jones, Kenan Thompson"
168259,James Wan,"Vin Diesel, Paul Walker, Jason Statham"
9479,Henry Selick,"Danny Elfman, Chris Sarandon, Catherine O'Hara"
1022796,Fawn Veerasunthorn,"Ariana DeBose, Chris Pine, Alan Tudyk"
1025596,Rod Blackhurst,"Scoot McNairy, Kit Harington, Josh Lucas"
1147416,Thomas Astruc,"Annouck Hautbois, Benjamin Bollen, Marie Nonnenmacher"
672,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson"
808,Andrew Adamson,"Mike Myers, Eddie Murphy, Cameron Diaz"
423108,Michael Chaves,"Patrick Wilson, Vera Farmiga, Ruairí O'Connor"
1151534,Albert Pintó,"Anna Castillo, Tamar Novas, Irina Bravo"
324857,Bob Persichetti,"Shameik Moore, Jake Johnson, Hailee Steinfeld"
1279837,Petersen Vargas,"Joshua Garcia, Julia Barretto, Nonie Buencamino"
772,Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern"
1064213,Sean Baker,"Mikey Madison, Mark Eydelshteyn, Yura Borisov"
4232,Wes Craven,"David Arquette, Neve Campbell, Courteney Cox"
150540,Pete Docter,"Amy Poehler, Phyllis Smith, Richard Kind"
1048241,Peter Segal,"Dave Bautista, Chloe Coleman, Kristen Schaal"
949484,Isaac Florentine,"Frank Grillo, Robert Patrick, Rhona Mitra"
254128,Brad Peyton,"Dwayne Johnson, Alexandra Daddario, Carla Gugino"
10191,Chris Sanders,"Jay Baruchel, Gerard Butler, Craig Ferguson"
14836,Henry Selick,"Dakota Fanning, Teri Hatcher, Jennifer Saunders"
216015,Sam Taylor-Johnson,"Dakota Johnson, Jamie Dornan, Jennifer Ehle"
704239,Julian Farino,"Mark Wahlberg, Halle Berry, J.K. Simmons"
843527,Michael Showalter,"Anne Hathaway, Nicholas Galitzine, Ella Rubin"
1134424,Jinanavin Veerapatra,"Ranee Campen, Tachaya Pathumwan, Sorawit Tongteng"
872585,Christopher Nolan,"Cillian Murphy, Emily Blunt, Matt Damon"
508947,Domee Shi,"Rosalie Chiang, Sandra Oh, Ava Morse"
1069387,Rodrigo Prieto,"Manuel Garcia-Rulfo, Tenoch Huerta Mejía, Dolores Heredia"
335977,James Mangold,"Harrison Ford, Phoebe Waller-Bridge, Mads Mikkelsen"
475557,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz"
799583,Guy Ritchie,"Henry Cavill, Eiza González, Alan Ritchson"
1122504,Erik Skybak,"Allegra Sweeney, Calvin Morie McCarthy, Neil Green"
348893,Todor Chapkanov,"Scott Adkins, Teodora Duhovnikova, Alon Aboutboul"
249397,Lars von Trier,"Charlotte Gainsbourg, Stellan Skarsgård, Stacy Martin"
162,Tim Burton,"Johnny Depp, Winona Ryder, Dianne Wiest"
246655,Bryan Singer,"James McAvoy, Michael Fassbender, Jennifer Lawrence"
27205,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe"
673,Alfonso Cuarón,"Daniel Radcliffe, Rupert Grint, Emma Watson"
1029281,JT Mollner,"Willa Fitzgerald, Kyle Gallner, Madisen Beaty"
1358752,Nik Kacevski,
263472,Eli Roth,"Keanu Reeves, Lorenza Izzo, Ana de Armas"
675353,Jeff Fowler,"Ben Schwartz, James Marsden, Tika Sumpter"
72808,Marco Ferreri,"Sergio Castellitto, Francesca Dellera, Philippe Léotard"
1152624,Louis Mandylor,"Louis Mandylor, Donald Cerrone, Quinton 'Rampage' Jackson"
1159518,Philippe Martinez,"Jackson Rathbone, Alex Pettyfer, Eve Mauro"
22,Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley"
114,Garry Marshall,"Richard Gere, Julia Roberts, Jason Alexander"
109445,Chris Buck,"Kristen Bell, Idina Menzel, Jonathan Groff"
259693,James Wan,"Patrick Wilson, Vera Farmiga, Madison Wolfe"
601796,Choi Dong-hoon,"Ryu Jun-yeol, Kim Woo-bin, Kim Tae-ri"
976573,Peter Sohn,"Leah Lewis, Mamoudou Athie, Ronnie del Carmen"
674,Mike Newell,"Daniel Radcliffe, Rupert Grint, Emma Watson"
1094138,Paul Feig,"Awkwafina, John Cena, Simu Liu"
746036,David Leitch,"Ryan Gosling, Emily Blunt, Aaron Taylor-Johnson"
1585,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore"
396535,Yeon Sang-ho,"Gong Yoo, Kim Su-an, Jung Yu-mi"
170,Danny Boyle,"Cillian Murphy, Naomie Harris, Brendan Gleeson"
1181068,Hanung Bramantyo,"Michelle Ziudith, Deva Mahenra, Davina Karamoy"
1219529,Leticia Tonos,"Paz Vega, Jalsen Santana, Sophie Gómez"
335988,Michael Bay,"Mark Wahlberg, Laura Haddock, Peter Cullen"
259316,David Yates,"Eddie Redmayne, Katherine Waterston, Dan Fogler"
247136,Tadashi Kyouya,"Elly Akira, Risa Sakamoto, Mika Muroi"
299054,Scott Waugh,"Jason Statham, 50 Cent, Megan Fox"
609681,Nia DaCosta,"Brie Larson, Teyonah Parris, Iman Vellani"
508883,Hayao Miyazaki,"Soma Santoki, Masaki Suda, Ko Shibasaki"
1136318,Callum Burn,"Arnold Voysey, Vin Hawke, Hannah Harris"
496243,Bong Joon-ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong"
27066,Tinto Brass,"Katarina Vasilissa, Francesco Casale, Cristina Garavaglia"
5255,Robert Zemeckis,"Tom Hanks, Leslie Zemeckis, Eddie Deezen"
1734,Stephen Sommers,"Brendan Fraser, Rachel Weisz, John Hannah"
424,Steven Spielberg,"Liam Neeson, Ben Kingsley, Ralph Fiennes"
122917,Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage"
293660,Tim Miller,"Ryan Reynolds, Morena Baccarin, Ed Skrein"
1219685,Hélène Fillières,"Laurent Gerra, Eddy Mitchell, Laure-Lucille Simon"
12445,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint"
329505,Bruno Gaburro,"Donatella Damiani, Scott Coffey, Gabriele Tinti"
1865,Rob Marshall,"Johnny Depp, Penélope Cruz, Geoffrey Rush"
1581,Nancy Meyers,"Cameron Diaz, Kate Winslet, Jude Law"
1001311,Xavier Gens,"Bérénice Bejo, Nassim Lyes, Léa Léviant"
260514,Brian Fee,"Owen Wilson, Cristela Alonzo, Chris Cooper"
4247,Keenen Ivory Wayans,"Anna Faris, Jon Abrahams, Marlon Wayans"
1241748,Artemio Abad,"Van Allen Ong, Sheila Snow, Arah Alonzo"
256591,John Requa,"Will Smith, Margot Robbie, Rodrigo Santoro"
271110,Joe Russo,"Chris Evans, Robert Downey Jr., Scarlett Johansson"
866398,David Ayer,"Jason Statham, Emmy Raver-Lampman, Josh Hutcherson"
18785,Todd Phillips,"Bradley Cooper, Ed Helms, Zach Galifianakis"
1143019,Frédéric Forestier,"Inès Reg, Kévin Debonne, Vincent Rottiers"
1264429,Inarah Syarafina,"Yasamin Jasem, Bryan Domani, Karina Suwandi"
263115,James Mangold,"Hugh Jackman, Dafne Keen, Patrick Stewart"
829560,Barbara Białowąs,"Anna-Maria Sieklucka, Michele Morrone, Simone Susinna"
1188808,G.B. Sampedro,"Arron Villaflor, Apple Dy, Joko Diaz"
585,Pete Docter,"John Goodman, Billy Crystal, Mary Gibbs"
1291559,Takahiro Miki,"Ren Nagase, Natsuki Deguchi, Mayuu Yokota"
299534,Anthony Russo,"Robert Downey Jr., Chris Evans, Mark Ruffalo"
447365,James Gunn,"Chris Pratt, Zoe Saldaña, Dave Bautista"
1108427,Thomas Kail,"Catherine Laga'Aia, Dwayne Johnson, Rena Owen"
176,James Wan,"Cary Elwes, Leigh Whannell, Danny Glover"
157350,Neil Burger,"Shailene Woodley, Theo James, Zoë Kravitz"
568124,Byron Howard,"Stephanie Beatriz, María Cecilia Botero, John Leguizamo"
106646,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie"
58,Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley"
748230,Gary Dauberman,"Lewis Pullman, Makenzie Leigh, Jordan Preston Carter"
1186947,João Wainer,"Maria Bomani, Jean Amorim, Milhem Cortaz"
17979,Robert Zemeckis,"Jim Carrey, Gary Oldman, Colin Firth"
1011397,Ross MacGibbon,"Francesca Hayward, Laura Morera, Mayara Magri"
1308546,Justin Harding,"Peyton Elizabeth Lee, Corey Fogelmanis, Carla Jimenez"
1209290,Jeff Wamester,"Jensen Ackles, Darren Criss, Corey Stoll"
1096197,Claudio Fäh,"Colm Meaney, Phyllis Logan, Sophie McIntosh"
767,David Yates,"Daniel Radcliffe, Rupert Grint, Emma Watson"
1159477,Christian Sparkes,"Frances Fisher, Clayne Crawford, Lara Jean Chorostecki"
792307,Yorgos Lanthimos,"Emma Stone, Mark Ruffalo, Willem Dafoe"
370663,April Mullen,"Erika Linder, Natalie Krill, Sebastian Pigott"
1572,John McTiernan,"Bruce Willis, Samuel L. Jackson, Jeremy Irons"
18190,Nicholas Kazan,"James Spader, Mädchen Amick, Fredric Lehne"
1062215,Chris Weitz,"John Cho, Katherine Waterston, Keith Carradine"
675,David Yates,"Daniel Radcliffe, Rupert Grint, Emma Watson"
1207830,Kevin Donovan,"Claire Alan, Cory Doran, Susan Sarandon"
1150394,Marvick Núñez,"Benny Emmanuel, Emilio Treviño, Jorge Rafael"
257344,Chris Columbus,"Adam Sandler, Kevin James, Michelle Monaghan"
646097,Jeremy Saulnier,"Aaron Pierre, Don Johnson, AnnaSophia Robb"
1032823,M. Night Shyamalan,"Josh Hartnett, Ariel Donoghue, Saleka"
1029575,Simon Cellan Jones,"Mark Wahlberg, Michelle Monaghan, Maggie Q"
4011,Tim Burton,"Alec Baldwin, Geena Davis, Winona Ryder"
507089,Emma Tammi,"Josh Hutcherson, Piper Rubio, Elizabeth Lail"
348,Ridley Scott,"Tom Skerritt, Sigourney Weaver, Veronica Cartwright"
519465,May el-Toukhy,"Trine Dyrholm, Gustav Lindh, Magnus Krepper"
12444,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint"
869291,Tilman Singer,"Hunter Schafer, Jan Bluthardt, Marton Csokas"
152601,Spike Jonze,"Joaquin Phoenix, Scarlett Johansson, Lynn Adrianna"
260513,Brad Bird,"Craig T. Nelson, Holly Hunter, Sarah Vowell"
338953,David Yates,"Eddie Redmayne, Jude Law, Mads Mikkelsen"
572802,James Wan,"Jason Momoa, Patrick Wilson, Yahya Abdul-Mateen II"
129,Hayao Miyazaki,"Rumi Hiiragi, Miyu Irino, Mari Natsuki"
161,Steven Soderbergh,"George Clooney, Matt Damon, Andy García"
176241,Kevin Hooks,"Wentworth Miller, Sarah Wayne Callies, Dominic Purcell"
8587,Roger Allers,"Matthew Broderick, Moira Kelly, Nathan Lane"
250546,John R. Leonetti,"Annabelle Wallis, Ward Horton, Tony Amendola"
11360,Ben Sharpsteen,"Edward Brophy, Margaret Wright, Verna Felton"
507086,Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Laura Dern"
605722,Will Speck,"Anthony Ramos, Naomi Scott, Kristofer Hivju"
861035,Aik Karapetian,"Kevin Janssens, Laura Siliņa, Aigars Vilims"
763215,Juan Carlos Fresnadillo,"Millie Bobby Brown, Ray Winstone, Angela Bassett"
19995,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver"
